,abbr_name,team,full_name
505,P. Watson,TOR,Paul Watson
506,Q. Weatherspoon,SAS,Quinndary Weatherspoon
507,R. Westbrook,WAS,Russell Westbrook
508,C. White,CHI,Coby White
509,D. White,SAS,Derrick White
510,H. Whiteside,SAC,Hassan Whiteside
511,A. Wiggins,GSW,Andrew Wiggins
512,G. Williams,BOS,Grant Williams
513,K. Williams,OKC,Kenrich Williams
514,L. Williams,LAC,Lou Williams
515,P. Williams,CHI,Patrick Williams
516,R. Williams,BOS,Robert Williams
517,Z. Williamson,NOP,Zion Williamson
518,D. Wilson,MIL,D.J. Wilson
519,D. Windler,CLE,Dylan Windler
520,J. Winslow,MEM,Justise Winslow
522,C. Winston,WAS,Cassius Winston
523,J. Wiseman,GSW,James Wiseman
524,C. Wood,HOU,Christian Wood
525,R. Woodard,SAC,Robert Woodard
526,D. Wright,DET,Delon Wright
527,T. Young,CHI,Thaddeus Young
528,T. Young,ATL,Trae Young
529,C. Zeller,CHO,Cody Zeller
530,I. Zubac,LAC,Ivica Zubac
